,team,total,team_opp,total_opp,season,date,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,home_opp,won
0,GSW,103,BOS,90,2022,2022-06-16,240.0,240.0,38.0,92.0,0.413,19.0,46.0,0.413,8.0,8.0,1.0,15.0,29.0,44.0,27.0,13.0,7.0,15.0,20.0,103.0,,0.539,0.516,0.5,0.087,33.3,72.5,51.8,71.1,14.1,13.5,13.6,100.0,111.8,97.7,,,12.0,21.0,0.667,6.0,11.0,0.667,4.0,4.0,1.0,6.0,8.0,12.0,8.0,4.0,3.0,5.0,5.0,34.0,18.0,1.0,1.0,1.0,0.333,29.5,23.0,18.2,35.7,7.9,6.3,33.3,31.5,186.0,111.0,0,1,240.0,240.0,34.0,80.0,0.425,11.0,28.0,0.393,11.0,12.0,0.917,11.0,30.0,41.0,27.0,8.0,8.0,22.0,16.0,90.0,,0.528,0.494,0.35,0.15,27.5,66.7,48.2,79.4,8.7,17.4,20.5,100.0,97.7,111.8,,,12.0,23.0,0.75,5.0,11.0,0.8,5.0,6.0,1.0,5.0,11.0,14.0,9.0,3.0,5.0,5.0,5.0,34.0,7.0,1.019,1.0,1.0,0.5,18.4,100.0,53.8,38.7,3.9,16.0,100.0,42.6,141.0,126.0,1,True
1,BOS,90,GSW,103,2022,2022-06-16,240.0,240.0,34.0,80.0,0.425,11.0,28.0,0.393,11.0,12.0,0.917,11.0,30.0,41.0,27.0,8.0,8.0,22.0,16.0,90.0,,0.528,0.494,0.35,0.15,27.5,66.7,48.2,79.4,8.7,17.4,20.5,100.0,97.7,111.8,,,12.0,23.0,0.75,5.0,11.0,0.8,5.0,6.0,1.0,5.0,11.0,14.0,9.0,3.0,5.0,5.0,5.0,34.0,7.0,1.019,1.0,1.0,0.5,18.4,100.0,53.8,38.7,3.9,16.0,100.0,42.6,141.0,126.0,1,0,240.0,240.0,38.0,92.0,0.413,19.0,46.0,0.413,8.0,8.0,1.0,15.0,29.0,44.0,27.0,13.0,7.0,15.0,20.0,103.0,,0.539,0.516,0.5,0.087,33.3,72.5,51.8,71.1,14.1,13.5,13.6,100.0,111.8,97.7,,,12.0,21.0,0.667,6.0,11.0,0.667,4.0,4.0,1.0,6.0,8.0,12.0,8.0,4.0,3.0,5.0,5.0,34.0,18.0,1.0,1.0,1.0,0.333,29.5,23.0,18.2,35.7,7.9,6.3,33.3,31.5,186.0,111.0,0,False
2,GSW,104,BOS,94,2022,2022-06-13,240.0,240.0,41.0,88.0,0.466,9.0,40.0,0.225,13.0,15.0,0.867,4.0,35.0,39.0,23.0,9.0,2.0,6.0,28.0,104.0,,0.55,0.517,0.455,0.17,9.3,81.4,45.3,56.1,9.4,4.7,6.0,100.0,108.4,97.9,,,12.0,23.0,0.75,5.0,11.0,0.5,3.0,3.0,1.0,1.0,12.0,13.0,8.0,3.0,1.0,2.0,6.0,26.0,16.0,0.845,0.813,1.0,0.375,6.7,31.5,17.1,59.5,5.7,7.6,33.3,36.2,222.0,107.0,1,0,240.0,240.0,31.0,75.0,0.413,11.0,32.0,0.344,21.0,31.0,0.677,8.0,39.0,47.0,18.0,2.0,2.0,18.0,16.0,94.0,,0.53,0.487,0.427,0.413,18.6,90.7,54.7,58.1,2.1,4.2,16.9,100.0,97.9,108.4,,,10.0,20.0,1.0,5.0,9.0,1.0,8.0,10.0,1.0,3.0,10.0,10.0,4.0,1.0,2.0,5.0,4.0,27.0,11.0,1.5,1.5,1.0,4.0,84.8,84.8,42.4,100.0,2.3,12.4,45.0,94.4,300.0,112.0,0,True
3,BOS,94,GSW,104,2022,2022-06-13,240.0,240.0,31.0,75.0,0.413,11.0,32.0,0.344,21.0,31.0,0.677,8.0,39.0,47.0,18.0,2.0,2.0,18.0,16.0,94.0,,0.53,0.487,0.427,0.413,18.6,90.7,54.7,58.1,2.1,4.2,16.9,100.0,97.9,108.4,,,10.0,20.0,1.0,5.0,9.0,1.0,8.0,10.0,1.0,3.0,10.0,10.0,4.0,1.0,2.0,5.0,4.0,27.0,11.0,1.5,1.5,1.0,4.0,84.8,84.8,42.4,100.0,2.3,12.4,45.0,94.4,300.0,112.0,0,1,240.0,240.0,41.0,88.0,0.466,9.0,40.0,0.225,13.0,15.0,0.867,4.0,35.0,39.0,23.0,9.0,2.0,6.0,28.0,104.0,,0.55,0.517,0.455,0.17,9.3,81.4,45.3,56.1,9.4,4.7,6.0,100.0,108.4,97.9,,,12.0,23.0,0.75,5.0,11.0,0.5,3.0,3.0,1.0,1.0,12.0,13.0,8.0,3.0,1.0,2.0,6.0,26.0,16.0,0.845,0.813,1.0,0.375,6.7,31.5,17.1,59.5,5.7,7.6,33.3,36.2,222.0,107.0,1,False
4,BOS,97,GSW,107,2022,2022-06-10,240.0,240.0,34.0,85.0,0.4,15.0,38.0,0.395,14.0,19.0,0.737,11.0,31.0,42.0,22.0,8.0,6.0,15.0,17.0,97.0,,0.519,0.488,0.447,0.224,22.0,66.0,43.3,64.7,8.4,12.5,13.8,100.0,102.1,112.6,,,9.0,23.0,1.0,4.0,9.0,0.6,5.0,5.0,1.0,4.0,8.0,12.0,6.0,4.0,3.0,6.0,5.0,23.0,6.0,0.902,1.0,1.0,1.0,12.2,26.0,18.9,27.0,5.1,7.0,25.8,32.4,205.0,120.0,1,0,240.0,240.0,40.0,91.0,0.44,15.0,43.0,0.349,12.0,15.0,0.8,16.0,39.0,55.0,20.0,10.0,5.0,16.0,21.0,107.0,,0.548,0.522,0.473,0.165,34.0,78.0,56.7,50.0,10.5,10.6,14.1,100.0,112.6,102.1,,,14.0,26.0,0.75,7.0,14.0,0.5,8.0,9.0,1.0,5.0,13.0,16.0,8.0,4.0,2.0,5.0,4.0,43.0,21.0,0.75,0.75,1.0,1.0,15.5,29.1,20.0,30.2,6.1,10.3,42.9,36.3,133.0,112.0,0,False
5,GSW,107,BOS,97,2022,2022-06-10,240.0,240.0,40.0,91.0,0.44,15.0,43.0,0.349,12.0,15.0,0.8,16.0,39.0,55.0,20.0,10.0,5.0,16.0,21.0,107.0,,0.548,0.522,0.473,0.165,34.0,78.0,56.7,50.0,10.5,10.6,14.1,100.0,112.6,102.1,,,14.0,26.0,0.75,7.0,14.0,0.5,8.0,9.0,1.0,5.0,13.0,16.0,8.0,4.0,2.0,5.0,4.0,43.0,21.0,0.75,0.75,1.0,1.0,15.5,29.1,20.0,30.2,6.1,10.3,42.9,36.3,133.0,112.0,0,1,240.0,240.0,34.0,85.0,0.4,15.0,38.0,0.395,14.0,19.0,0.737,11.0,31.0,42.0,22.0,8.0,6.0,15.0,17.0,97.0,,0.519,0.488,0.447,0.224,22.0,66.0,43.3,64.7,8.4,12.5,13.8,100.0,102.1,112.6,,,9.0,23.0,1.0,4.0,9.0,0.6,5.0,5.0,1.0,4.0,8.0,12.0,6.0,4.0,3.0,6.0,5.0,23.0,6.0,0.902,1.0,1.0,1.0,12.2,26.0,18.9,27.0,5.1,7.0,25.8,32.4,205.0,120.0,1,True
6,GSW,100,BOS,116,2022,2022-06-08,240.0,240.0,36.0,78.0,0.462,15.0,40.0,0.375,13.0,15.0,0.867,6.0,25.0,31.0,22.0,7.0,5.0,16.0,23.0,100.0,,0.591,0.558,0.513,0.192,15.8,62.5,39.7,61.1,7.6,9.3,15.9,100.0,108.1,125.4,,,12.0,22.0,0.75,6.0,13.0,0.667,6.0,6.0,1.0,3.0,6.0,7.0,4.0,2.0,2.0,3.0,6.0,31.0,4.0,1.0,1.0,1.0,1.0,22.5,51.8,26.6,38.6,4.5,38.4,100.0,32.7,164.0,135.0,0,1,240.0,240.0,43.0,89.0,0.483,13.0,35.0,0.371,17.0,24.0,0.708,15.0,32.0,47.0,28.0,7.0,7.0,12.0,17.0,116.0,,0.583,0.556,0.393,0.27,37.5,84.2,60.3,65.1,7.6,18.4,10.8,100.0,125.4,108.1,,,9.0,23.0,0.8,4.0,9.0,1.0,5.0,7.0,1.0,3.0,7.0,10.0,9.0,3.0,4.0,5.0,3.0,27.0,21.0,0.8,0.8,1.0,0.412,17.9,62.1,30.3,32.1,6.0,19.5,33.3,28.8,175.0,117.0,1,False
7,BOS,116,GSW,100,2022,2022-06-08,240.0,240.0,43.0,89.0,0.483,13.0,35.0,0.371,17.0,24.0,0.708,15.0,32.0,47.0,28.0,7.0,7.0,12.0,17.0,116.0,,0.583,0.556,0.393,0.27,37.5,84.2,60.3,65.1,7.6,18.4,10.8,100.0,125.4,108.1,,,9.0,23.0,0.8,4.0,9.0,1.0,5.0,7.0,1.0,3.0,7.0,10.0,9.0,3.0,4.0,5.0,3.0,27.0,21.0,0.8,0.8,1.0,0.412,17.9,62.1,30.3,32.1,6.0,19.5,33.3,28.8,175.0,117.0,1,0,240.0,240.0,36.0,78.0,0.462,15.0,40.0,0.375,13.0,15.0,0.867,6.0,25.0,31.0,22.0,7.0,5.0,16.0,23.0,100.0,,0.591,0.558,0.513,0.192,15.8,62.5,39.7,61.1,7.6,9.3,15.9,100.0,108.1,125.4,,,12.0,22.0,0.75,6.0,13.0,0.667,6.0,6.0,1.0,3.0,6.0,7.0,4.0,2.0,2.0,3.0,6.0,31.0,4.0,1.0,1.0,1.0,1.0,22.5,51.8,26.6,38.6,4.5,38.4,100.0,32.7,164.0,135.0,0,True
8,GSW,107,BOS,88,2022,2022-06-05,240.0,240.0,39.0,86.0,0.453,15.0,37.0,0.405,14.0,20.0,0.7,6.0,36.0,42.0,25.0,15.0,2.0,12.0,17.0,107.0,,0.564,0.541,0.43,0.233,14.0,85.7,49.4,64.1,15.3,4.7,11.2,100.0,109.1,89.7,,,9.0,21.0,1.0,5.0,12.0,1.0,6.0,7.0,1.0,3.0,6.0,7.0,7.0,3.0,1.0,3.0,3.0,29.0,24.0,1.5,1.5,1.0,2.333,11.0,63.8,31.5,68.7,9.9,5.2,50.0,36.4,263.0,103.0,1,0,240.0,240.0,30.0,80.0,0.375,15.0,37.0,0.405,13.0,17.0,0.765,6.0,37.0,43.0,24.0,5.0,7.0,18.0,18.0,88.0,,0.503,0.469,0.463,0.213,14.3,86.0,50.6,80.0,5.1,14.3,17.1,100.0,89.7,109.1,,,8.0,19.0,1.0,6.0,9.0,1.0,6.0,8.0,1.0,2.0,6.0,8.0,5.0,1.0,2.0,5.0,4.0,28.0,10.0,1.5,1.5,1.0,1.0,12.3,93.5,47.3,80.7,4.6,14.0,50.0,35.2,300.0,117.0,0,True
9,BOS,88,GSW,107,2022,2022-06-05,240.0,240.0,30.0,80.0,0.375,15.0,37.0,0.405,13.0,17.0,0.765,6.0,37.0,43.0,24.0,5.0,7.0,18.0,18.0,88.0,,0.503,0.469,0.463,0.213,14.3,86.0,50.6,80.0,5.1,14.3,17.1,100.0,89.7,109.1,,,8.0,19.0,1.0,6.0,9.0,1.0,6.0,8.0,1.0,2.0,6.0,8.0,5.0,1.0,2.0,5.0,4.0,28.0,10.0,1.5,1.5,1.0,1.0,12.3,93.5,47.3,80.7,4.6,14.0,50.0,35.2,300.0,117.0,0,1,240.0,240.0,39.0,86.0,0.453,15.0,37.0,0.405,14.0,20.0,0.7,6.0,36.0,42.0,25.0,15.0,2.0,12.0,17.0,107.0,,0.564,0.541,0.43,0.233,14.0,85.7,49.4,64.1,15.3,4.7,11.2,100.0,109.1,89.7,,,9.0,21.0,1.0,5.0,12.0,1.0,6.0,7.0,1.0,3.0,6.0,7.0,7.0,3.0,1.0,3.0,3.0,29.0,24.0,1.5,1.5,1.0,2.333,11.0,63.8,31.5,68.7,9.9,5.2,50.0,36.4,263.0,103.0,1,False
