Home Team,Away Team,season,date,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,ortg,drtg,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,ortg_opp,drtg_opp,won,target
ATL,DET,2016,2015-10-27,37.0,82.0,0.451,8.0,27.0,0.296,12.0,15.0,0.8,7.0,33.0,40.0,22.0,9.0,4.0,15.0,25.0,94.0,0.53,0.5,0.329,0.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,98.6,111.2,37.0,96.0,0.385,12.0,29.0,0.414,20.0,26.0,0.769,23.0,36.0,59.0,23.0,5.0,3.0,15.0,15.0,106.0,0.493,0.448,0.302,0.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,111.2,98.6,False,1
GSW,NOP,2016,2015-10-27,41.0,96.0,0.427,9.0,30.0,0.3,20.0,22.0,0.909,21.0,35.0,56.0,29.0,8.0,7.0,20.0,29.0,111.0,0.525,0.474,0.313,0.229,45.7,81.4,62.9,70.7,8.0,10.8,15.9,110.9,94.9,35.0,83.0,0.422,6.0,18.0,0.333,19.0,27.0,0.704,8.0,25.0,33.0,21.0,9.0,3.0,18.0,26.0,95.0,0.501,0.458,0.217,0.325,18.6,54.3,37.1,60.0,9.0,4.5,15.9,94.9,110.9,True,1
CHI,CLE,2016,2015-10-27,37.0,87.0,0.425,7.0,19.0,0.368,16.0,23.0,0.696,7.0,40.0,47.0,13.0,6.0,10.0,13.0,22.0,97.0,0.499,0.466,0.218,0.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,97.5,95.5,38.0,94.0,0.404,9.0,29.0,0.31,10.0,17.0,0.588,11.0,39.0,50.0,26.0,5.0,7.0,10.0,21.0,95.0,0.468,0.452,0.309,0.181,21.6,84.8,51.5,68.4,5.0,10.3,9.0,95.5,97.5,True,1
BRK,CHI,2016,2015-10-28,39.0,93.0,0.419,0.0,9.0,0.0,22.0,28.0,0.786,16.0,29.0,45.0,19.0,11.0,5.0,13.0,18.0,100.0,0.475,0.419,0.097,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,101.0,116.1,42.0,78.0,0.538,14.0,28.0,0.5,17.0,20.0,0.85,5.0,34.0,39.0,20.0,9.0,3.0,19.0,24.0,115.0,0.662,0.628,0.359,0.256,14.7,68.0,46.4,47.6,9.1,3.6,18.0,116.1,101.0,False,0
TOR,IND,2016,2015-10-28,36.0,80.0,0.45,7.0,18.0,0.389,27.0,39.0,0.692,9.0,41.0,50.0,19.0,8.0,2.0,20.0,24.0,106.0,0.545,0.494,0.225,0.488,22.0,83.7,55.6,52.8,7.7,3.2,17.1,102.3,95.5,32.0,86.0,0.372,9.0,23.0,0.391,26.0,31.0,0.839,8.0,32.0,40.0,23.0,14.0,3.0,13.0,30.0,99.0,0.497,0.424,0.267,0.36,16.3,78.0,44.4,71.9,13.5,4.8,11.5,95.5,102.3,True,1
MEM,CLE,2016,2015-10-28,29.0,82.0,0.354,2.0,16.0,0.125,16.0,22.0,0.727,11.0,29.0,40.0,15.0,8.0,3.0,16.0,18.0,76.0,0.414,0.366,0.195,0.268,20.8,70.7,42.6,51.7,8.4,5.5,14.9,79.4,110.8,41.0,84.0,0.488,13.0,29.0,0.448,11.0,17.0,0.647,12.0,42.0,54.0,29.0,7.0,2.0,19.0,25.0,106.0,0.579,0.565,0.345,0.202,29.3,79.2,57.4,70.7,7.3,3.0,17.2,110.8,79.4,False,1
BOS,PHI,2016,2015-10-28,39.0,85.0,0.459,8.0,24.0,0.333,26.0,27.0,0.963,10.0,31.0,41.0,31.0,10.0,7.0,17.0,23.0,112.0,0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.1,11.5,14.9,112.6,95.5,34.0,83.0,0.41,7.0,22.0,0.318,20.0,23.0,0.87,14.0,32.0,46.0,12.0,11.0,6.0,22.0,22.0,95.0,0.51,0.452,0.265,0.277,31.1,76.2,52.9,35.3,11.1,9.8,19.1,95.5,112.6,True,0
HOU,DEN,2016,2015-10-28,30.0,87.0,0.345,8.0,35.0,0.229,17.0,26.0,0.654,15.0,29.0,44.0,17.0,13.0,8.0,16.0,19.0,85.0,0.432,0.391,0.402,0.299,27.3,76.3,47.3,56.7,13.4,15.4,14.0,87.6,108.2,40.0,79.0,0.506,13.0,27.0,0.481,12.0,18.0,0.667,9.0,40.0,49.0,26.0,9.0,10.0,21.0,26.0,105.0,0.604,0.589,0.342,0.228,23.7,72.7,52.7,65.0,9.3,19.2,19.5,108.2,87.6,False,0
OKC,SAS,2016,2015-10-28,42.0,86.0,0.488,7.0,19.0,0.368,21.0,22.0,0.955,11.0,34.0,45.0,21.0,7.0,4.0,19.0,19.0,112.0,0.585,0.529,0.221,0.256,27.5,82.9,55.6,50.0,6.9,5.1,16.6,110.2,104.3,45.0,93.0,0.484,5.0,15.0,0.333,11.0,13.0,0.846,7.0,29.0,36.0,22.0,11.0,9.0,13.0,18.0,106.0,0.537,0.511,0.161,0.14,17.1,72.5,44.4,48.9,10.8,13.4,11.6,104.3,110.2,True,1
POR,NOP,2016,2015-10-28,44.0,88.0,0.5,12.0,32.0,0.375,12.0,14.0,0.857,6.0,45.0,51.0,22.0,7.0,4.0,12.0,21.0,112.0,0.595,0.568,0.364,0.159,15.0,90.0,56.7,50.0,6.9,6.9,11.3,111.0,93.1,36.0,91.0,0.396,11.0,33.0,0.333,11.0,18.0,0.611,5.0,34.0,39.0,19.0,7.0,2.0,11.0,17.0,94.0,0.475,0.456,0.363,0.198,10.0,85.0,43.3,52.8,6.9,3.6,10.0,93.1,111.0,True,0
