mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won
240.0,240.0,40.0,80.0,0.5,13.0,34.0,0.382,24.0,28.0,0.857,4.0,27.0,31.0,16.0,8.0,3.0,14.0,25.0,117.0,,0.634,0.581,0.425,0.35,11.8,81.8,46.3,40.0,8.1,6.4,13.2,100.0,119.2,128.3,PHI,117,0,1,240.0,240.0,46.0,82.0,0.561,12.0,35.0,0.343,22.0,28.0,0.786,6.0,30.0,36.0,24.0,8.0,3.0,10.0,24.0,126.0,,0.668,0.634,0.427,0.341,18.2,88.2,53.7,52.2,8.1,6.5,9.6,100.0,128.3,119.2,BOS,126,1,2023,2022-10-18,False
240.0,240.0,45.0,99.0,0.455,16.0,45.0,0.356,17.0,23.0,0.739,11.0,37.0,48.0,31.0,11.0,4.0,18.0,23.0,123.0,,0.564,0.535,0.455,0.232,22.0,80.4,50.0,68.9,9.7,7.4,14.2,100.0,108.3,96.0,GSW,123,1,0,240.0,240.0,40.0,94.0,0.426,10.0,40.0,0.25,19.0,25.0,0.76,9.0,39.0,48.0,23.0,12.0,4.0,21.0,18.0,109.0,,0.519,0.479,0.426,0.266,19.6,78.0,50.0,57.5,10.6,7.4,16.7,100.0,96.0,108.3,LAL,109,0,2023,2022-10-18,True
240.0,240.0,40.0,94.0,0.426,10.0,40.0,0.25,19.0,25.0,0.76,9.0,39.0,48.0,23.0,12.0,4.0,21.0,18.0,109.0,,0.519,0.479,0.426,0.266,19.6,78.0,50.0,57.5,10.6,7.4,16.7,100.0,96.0,108.3,LAL,109,0,1,240.0,240.0,45.0,99.0,0.455,16.0,45.0,0.356,17.0,23.0,0.739,11.0,37.0,48.0,31.0,11.0,4.0,18.0,23.0,123.0,,0.564,0.535,0.455,0.232,22.0,80.4,50.0,68.9,9.7,7.4,14.2,100.0,108.3,96.0,GSW,123,1,2023,2022-10-18,False
240.0,240.0,46.0,82.0,0.561,12.0,35.0,0.343,22.0,28.0,0.786,6.0,30.0,36.0,24.0,8.0,3.0,10.0,24.0,126.0,,0.668,0.634,0.427,0.341,18.2,88.2,53.7,52.2,8.1,6.5,9.6,100.0,128.3,119.2,BOS,126,1,0,240.0,240.0,40.0,80.0,0.5,13.0,34.0,0.382,24.0,28.0,0.857,4.0,27.0,31.0,16.0,8.0,3.0,14.0,25.0,117.0,,0.634,0.581,0.425,0.35,11.8,81.8,46.3,40.0,8.1,6.4,13.2,100.0,119.2,128.3,PHI,117,0,2023,2022-10-18,True
240.0,240.0,42.0,83.0,0.506,16.0,38.0,0.421,23.0,31.0,0.742,11.0,32.0,43.0,27.0,10.0,1.0,19.0,21.0,123.0,,0.636,0.602,0.458,0.373,30.6,76.2,55.1,64.3,9.9,1.6,16.4,100.0,122.2,101.4,UTA,123,1,0,240.0,240.0,40.0,83.0,0.482,5.0,22.0,0.227,17.0,18.0,0.944,10.0,25.0,35.0,21.0,10.0,3.0,21.0,23.0,102.0,,0.561,0.512,0.265,0.217,23.8,69.4,44.9,52.5,9.9,6.7,18.8,100.0,101.4,122.2,DEN,102,0,2023,2022-10-19,True
240.0,240.0,40.0,94.0,0.426,14.0,38.0,0.368,19.0,24.0,0.792,12.0,29.0,41.0,31.0,11.0,4.0,12.0,21.0,113.0,,0.54,0.5,0.404,0.255,24.0,74.4,46.1,77.5,10.9,7.1,10.3,100.0,112.3,108.3,DET,113,1,0,240.0,240.0,42.0,86.0,0.488,11.0,30.0,0.367,14.0,19.0,0.737,10.0,38.0,48.0,21.0,5.0,5.0,18.0,24.0,109.0,,0.578,0.552,0.349,0.221,25.6,76.0,53.9,50.0,5.0,8.9,16.0,100.0,108.3,112.3,ORL,109,0,2023,2022-10-19,True
240.0,240.0,42.0,86.0,0.488,11.0,30.0,0.367,14.0,19.0,0.737,10.0,38.0,48.0,21.0,5.0,5.0,18.0,24.0,109.0,,0.578,0.552,0.349,0.221,25.6,76.0,53.9,50.0,5.0,8.9,16.0,100.0,108.3,112.3,ORL,109,0,1,240.0,240.0,40.0,94.0,0.426,14.0,38.0,0.368,19.0,24.0,0.792,12.0,29.0,41.0,31.0,11.0,4.0,12.0,21.0,113.0,,0.54,0.5,0.404,0.255,24.0,74.4,46.1,77.5,10.9,7.1,10.3,100.0,112.3,108.3,DET,113,1,2023,2022-10-19,False
240.0,240.0,40.0,89.0,0.449,10.0,33.0,0.303,18.0,24.0,0.75,9.0,30.0,39.0,22.0,10.0,10.0,16.0,25.0,108.0,,0.542,0.506,0.371,0.27,18.4,58.8,39.0,55.0,9.7,13.2,13.8,100.0,104.8,126.2,BRK,108,1,0,240.0,240.0,50.0,102.0,0.49,12.0,26.0,0.462,18.0,25.0,0.72,21.0,40.0,61.0,31.0,9.0,4.0,12.0,21.0,130.0,,0.575,0.549,0.255,0.245,41.2,81.6,61.0,62.0,8.7,7.1,9.6,100.0,126.2,104.8,NOP,130,0,2023,2022-10-19,False
265.0,265.0,44.0,109.0,0.404,9.0,37.0,0.243,15.0,18.0,0.833,18.0,36.0,54.0,28.0,7.0,5.0,12.0,26.0,112.0,,0.479,0.445,0.339,0.165,29.0,64.3,45.8,63.6,6.6,8.6,9.3,100.0,105.2,108.0,NYK,112,0,1,265.0,265.0,42.0,108.0,0.389,17.0,50.0,0.34,14.0,23.0,0.609,20.0,44.0,64.0,27.0,6.0,7.0,13.0,17.0,115.0,,0.487,0.468,0.463,0.213,35.7,71.0,54.2,64.3,5.6,9.7,9.9,100.0,108.0,105.2,MEM,115,1,2023,2022-10-19,False
265.0,265.0,42.0,108.0,0.389,17.0,50.0,0.34,14.0,23.0,0.609,20.0,44.0,64.0,27.0,6.0,7.0,13.0,17.0,115.0,,0.487,0.468,0.463,0.213,35.7,71.0,54.2,64.3,5.6,9.7,9.9,100.0,108.0,105.2,MEM,115,1,0,265.0,265.0,44.0,109.0,0.404,9.0,37.0,0.243,15.0,18.0,0.833,18.0,36.0,54.0,28.0,7.0,5.0,12.0,26.0,112.0,,0.479,0.445,0.339,0.165,29.0,64.3,45.8,63.6,6.6,8.6,9.3,100.0,105.2,108.0,NYK,112,0,2023,2022-10-19,True
